acutely		<-->adverb+C1[-0]	.








adventure		<-->noun+A2[-0]	.








adventurous		<-->adjective+B2[-0]	.








afraid		<-->adjective+A1[-0]	.








alarm		<-->noun+B1[-0]	.








alarmed		<-->adjective+B2[-0]	.








a leap in the dark		<-->idiom+C2[-0]	.








alert		<-->verb+C1[-0]	.








alert		<-->noun+C1[-0]	.








alert		<-->adjective+C1[-0]	.








a marked man/woman		<-->idiom+C2[-0]	.








an accident/a disaster waiting to happen		<-->idiom+C2[-0]	.








antics		<-->noun+C2[-0]	.








at-risk		<-->adjective+B2[-0]	.








at risk		<-->idiom+B1[-0]	.








avert		<-->verb+C1[-0]	.








be on the lookout (for somebody/something)		<-->idiom+C2[-0]	.








be on the razor’s edge		<-->idiom+C2[-0]	.








be on the watch (for somebody/something)		<-->idiom+C2[-0]	.








be on your guard		<-->idiom+C2[-0]	.








beware		<-->verb+C1[-0]	.








boil over		<-->phrasal verb+C2[-0]	.








boil up		<-->phrasal verb+C2[-0]	.








breakneck		<-->adjective+C2[-0]	.








brink		<-->noun+C2[-0]	.








cancer		<-->noun+C2[-0]	.








canker		<-->noun+C2[-0]	.








caper		<-->noun+C2[-0]	.








caution		<-->noun+C1[-0]	.








caution		<-->verb+C1[-0]	.








chance		<-->noun+A2[-0]	.








close		<-->adjective+C2[-0]	.








compromise		<-->verb+C1[-0]	.








critical		<-->adjective+B2[-0]	.








critically		<-->adverb+B2[-0]	.








danger		<-->noun+A2[-0]	.








dangerous		<-->adjective+A1[-0]	.








dangerously		<-->adverb+B1[-0]	.








dare		<-->verb+C1[-0]	.








dare		<-->noun+C1[-0]	.








daredevil		<-->noun+C2[-0]	.








daredevil		<-->adjective+C2[-0]	.








daring		<-->adjective+B2[-0]	.








daringly		<-->adverb+B2[-0]	.








deadly		<-->adjective+B2[-0]	.








death trap		<-->noun+C2[-0]	.








desperate		<-->adjective+B2[-0]	.








dice with death		<-->idiom+C2[-0]	.








dicey		<-->adjective+C2[-0]	.








discretion is the better part of valour		<-->idiom+C2[-0]	.








distress		<-->noun+C1[-0]	.








dodgy		<-->adjective+C2[-0]	.








do something at your (own) peril		<-->idiom+C2[-0]	.








do something at your own risk		<-->idiom+C2[-0]	.








early warning		<-->noun+C1[-0]	.








emergency		<-->noun+B1[-0]	.








