People - toopicc
Work and business
Travel
Politics and society
Homes and buildings
The natural world
Food and drink
Sport

People - toopicc
Education - topicc


absentee    								<--->  noun+C2    
absenteeism    								<--->  noun+C2    
academic    								<--->  adjective+B1    
academic    								<--->  noun+B2    
academic year    								<--->  noun+C1    
academy    								<--->  noun+C1    
access course    								<--->  noun+C2    
ace    								<--->  verb+C2    
ACT    								<--->  abbreviation+C2    
admission    								<--->  noun+C1    
admit    								<--->  verb+C1    
adult education    								<--->  noun+B1    
A level    								<--->  noun+C1    
algebra    								<--->  noun+C1    
alma mater    								<--->  noun+C2    
alumna    								<--->  noun+C2    
alumni    								<--->  noun+C2    
alumnus    								<--->  noun+C2    
answer    								<--->  noun+A1    
applicant    								<--->  noun+B2    
application    								<--->  noun+B1    
arithmetic    								<--->  noun+C1    
art    								<--->  noun+A1    
AS (level)    								<--->  noun+C2    
assembly    								<--->  noun+C1    
assess    								<--->  verb+B2    
assessment    								<--->  noun+B2    
assessor    								<--->  noun+C1    
assignment    								<--->  noun+B1    
assistant    								<--->  noun+A2    
attend    								<--->  verb+A2    
attendance    								<--->  noun+C1    
award    								<--->  noun+C1    
BA    								<--->  noun+C2    
bachelor    								<--->  noun+C2    
bell    								<--->  noun+B1    
biology    								<--->  noun+A2    
blackboard    								<--->  noun+B1    
blazer    								<--->  noun+C2    
blended learning    								<--->  noun+C1    
board    								<--->  noun+A2    
boarder    								<--->  noun+C2    
boarding school    								<--->  noun+B2    
book    								<--->  noun+A1    
BSc    								<--->  noun+C2    
BTEC    								<--->  noun+C2    
bunk off    								<--->  phrasal verb+C2
bunk off school    								<--->  phrasal verb+C2
bunk off work    								<--->  phrasal verb+C2
bursary    								<--->  noun+C2    
business school    								<--->  noun+B1    
business studies    								<--->  noun+B1    
calculator    								<--->  noun+B2    
campus    								<--->  noun+B1    
candidate    								<--->  noun+B1    
canteen    								<--->  noun+B1    
caretaker    								<--->  noun+C1    
catchment area    								<--->  noun+C2    
certificate    								<--->  noun+B2    
chair    								<--->  noun+C1    
chalk    								<--->  noun+C1    
chalkboard    								<--->  noun+C1    
chancellor    								<--->  noun+C2    
chapel    								<--->  noun+C2    
chemistry    								<--->  noun+A2    
class    								<--->  noun+A1    
classic    								<--->  noun+C1    
classmate    								<--->  noun+A1    
classroom    								<--->  noun+A1    
classwork    								<--->  noun+B1    
clearing    								<--->  noun+C2    
coach    								<--->  noun+A2    
